gender,location,gamegenre,ingamepurchases,gamedifficulty,sessionsperweek,avgsessiondurationminutes,playerlevel,achievementsunlocked,engagementlevel
0,Other,RPG,0,1,4,151,76,35,1
0,USA,Action,0,1,15,68,88,39,1
0,Other,RPG,0,1,12,115,98,7,1
1,Europe,Action,0,0,14,149,10,34,2
0,Asia,RPG,0,1,19,65,34,46,1
0,USA,RPG,0,0,17,176,45,43,2
0,USA,Strategy,0,1,3,31,73,49,0
1,USA,Sports,0,0,19,77,51,38,2
0,Europe,Sports,0,2,8,94,31,13,1
0,Other,RPG,0,2,3,146,22,32,1
0,USA,Sports,0,1,8,45,19,21,2
0,Europe,Simulation,0,0,8,134,64,25,1
0,Europe,Simulation,1,0,1,50,95,26,0
0,Europe,RPG,1,0,15,171,6,16,2
1,USA,RPG,1,0,8,46,8,0,1
0,USA,Simulation,0,0,8,139,20,1,1
0,USA,Simulation,1,0,15,36,88,36,1
0,USA,Simulation,0,0,15,148,73,43,2
1,USA,Strategy,0,0,9,153,46,19,1
0,USA,Action,0,2,11,138,27,13,2
1,USA,Strategy,0,1,19,155,35,30,2
1,Europe,Simulation,0,0,2,94,76,42,1
0,Other,Action,0,2,16,140,10,16,2
0,Other,Sports,0,0,1,16,38,43,0
1,USA,Simulation,1,0,16,135,80,43,2
1,USA,Simulation,0,0,6,49,58,42,1
1,Other,Sports,0,1,7,46,26,47,1
1,Europe,Action,0,0,13,30,3,40,1
0,Other,Simulation,1,1,17,167,72,24,2
1,Europe,Action,0,0,13,79,29,32,1
0,Asia,Strategy,0,1,7,111,45,2,1
0,Europe,RPG,1,0,7,79,46,32,1
1,Europe,Strategy,0,1,12,131,12,37,2
0,Europe,RPG,1,0,19,109,91,48,2
0,USA,Simulation,0,0,14,106,23,1,2
0,Asia,Strategy,1,1,3,29,9,30,0
0,USA,Strategy,1,0,0,83,15,4,0
1,USA,Sports,1,0,12,70,33,33,1
0,Asia,RPG,0,0,10,14,15,25,0
1,Europe,RPG,1,0,1,139,24,0,0
0,USA,Simulation,0,1,12,34,14,15,1
0,USA,Sports,0,0,5,77,40,38,1
0,USA,Sports,1,0,12,41,73,10,1
0,USA,RPG,0,0,19,102,14,24,2
0,USA,Sports,0,1,4,117,4,49,1
1,Asia,Action,1,0,3,122,89,24,1
0,Europe,Simulation,0,2,18,14,78,4,0
0,USA,Strategy,0,1,11,147,40,49,2
0,Europe,RPG,1,1,8,107,11,7,1
0,USA,Sports,0,1,14,36,59,35,1
0,USA,Sports,0,0,1,73,76,15,0
1,Europe,Sports,1,0,7,12,77,28,0
0,Asia,Simulation,0,0,0,99,80,42,0
0,Asia,Strategy,1,2,4,32,33,42,0
0,Europe,Sports,0,0,19,126,3,14,2
0,USA,Strategy,1,1,1,84,61,39,0
0,Europe,Strategy,0,0,3,117,1,11,1
1,Europe,Simulation,0,0,11,55,54,37,1
1,USA,Sports,0,2,14,93,65,42,2
0,Europe,Sports,0,1,5,40,89,29,1
1,Europe,Strategy,0,2,11,109,53,18,1
0,Europe,Sports,0,0,2,33,54,33,0
1,Europe,Simulation,0,1,8,91,38,14,1
1,Other,Sports,0,0,16,36,22,36,1
0,Europe,Sports,1,0,15,101,73,45,2
0,Asia,Sports,0,0,15,24,56,17,1
0,Other,Simulation,0,2,17,72,45,48,1
0,Asia,Strategy,1,1,9,127,75,32,1
0,Other,Strategy,0,0,12,96,2,21,1
1,Asia,Sports,0,0,16,121,10,35,2
0,USA,Simulation,0,2,7,60,5,30,1
0,USA,Sports,0,1,18,145,88,15,2
1,USA,Simulation,0,1,3,51,72,44,0
1,USA,Simulation,0,0,14,96,42,47,2
0,USA,Strategy,0,2,18,111,34,9,2
1,Asia,Action,0,1,12,142,24,18,2
1,USA,Action,1,0,17,142,12,20,2
0,Asia,RPG,0,0,3,69,52,14,0
0,Other,RPG,0,1,7,154,23,19,1
1,USA,Action,1,0,17,149,48,14,2
1,USA,Strategy,0,1,11,75,69,25,1
0,Asia,RPG,0,2,15,17,19,43,0
0,USA,Action,0,1,17,62,77,35,1
1,USA,Strategy,0,1,13,124,35,43,2
1,USA,RPG,0,1,11,34,8,11,1
1,USA,RPG,0,1,7,108,76,1,1
1,Asia,Action,0,0,19,157,85,7,2
1,Europe,RPG,0,0,15,108,49,32,2
1,USA,Strategy,0,0,2,65,92,45,1
1,Europe,Action,1,2,5,94,76,14,1
1,USA,Strategy,0,1,1,70,5,43,0
0,USA,RPG,0,1,16,154,13,27,2
1,Europe,Strategy,0,1,7,78,54,36,1
0,Europe,Sports,0,0,18,14,49,5,0
0,USA,Simulation,1,2,13,21,58,19,0
0,Asia,RPG,0,0,1,124,15,24,0
0,Asia,Sports,0,0,7,45,45,42,1
0,Other,Simulation,0,1,6,62,96,40,1
1,Europe,Action,1,1,7,43,72,16,1
1,USA,Simulation,0,0,1,69,81,14,0
1,Asia,Action,0,0,19,42,64,31,1
1,USA,Sports,1,2,8,103,54,36,1
0,USA,Simulation,1,2,3,124,82,4,1
0,Asia,RPG,1,2,16,52,87,2,1
0,Other,Sports,1,0,12,132,4,4,2
0,USA,Simulation,0,0,17,105,60,37,2
1,USA,Strategy,0,0,11,27,23,13,0
0,Europe,Strategy,0,2,3,159,8,44,0
0,Other,Action,0,0,9,19,95,31,1
0,Europe,Sports,0,2,18,117,40,0,2
0,Asia,Strategy,0,0,9,138,13,19,1
0,Other,Simulation,0,2,0,140,95,46,0
1,Europe,RPG,1,2,19,70,49,44,2
0,Asia,Action,0,0,8,39,45,45,1
0,Europe,Simulation,0,0,11,92,39,43,1
0,Europe,Action,0,0,9,50,82,18,1
1,Europe,Strategy,0,1,3,138,36,30,1
0,Europe,Sports,1,1,11,179,91,4,2
0,Europe,RPG,1,2,12,135,66,49,2
0,Europe,Strategy,0,0,18,164,26,41,2
1,Europe,Sports,0,0,11,90,2,5,1
1,USA,RPG,0,0,8,110,33,28,1
0,Europe,Sports,0,2,12,103,80,13,2
1,USA,Strategy,0,1,0,146,4,13,0
0,USA,RPG,1,1,10,30,55,9,0
0,Asia,Simulation,0,1,15,133,32,25,2
0,USA,Strategy,0,2,4,166,81,31,1
0,Europe,Action,0,0,11,142,61,48,2
1,Asia,RPG,0,1,13,102,7,40,1
1,Europe,Sports,0,0,5,144,79,13,1
0,USA,Strategy,0,1,15,67,83,27,1
0,USA,Sports,1,1,9,105,56,39,1
0,USA,Simulation,0,1,4,98,67,26,1
0,USA,Sports,0,1,14,89,67,14,1
1,USA,Strategy,0,1,3,80,5,41,0
1,Europe,RPG,1,0,6,24,49,1,0
1,USA,Strategy,1,0,16,31,20,20,1
0,Other,Action,0,2,19,105,3,37,2
1,Europe,Action,0,0,16,47,61,7,1
0,Europe,Sports,0,0,18,20,23,19,1
1,Europe,Sports,0,0,6,149,16,17,1
0,Europe,Strategy,0,0,13,50,10,2,1
0,Europe,Sports,0,0,14,10,64,39,0
0,Asia,Sports,0,0,9,116,62,3,1
0,Asia,Sports,0,0,15,152,36,5,2
1,Europe,RPG,0,1,14,128,79,24,2
1,Other,Action,1,2,16,65,74,23,1
1,Europe,RPG,0,0,1,71,49,48,0
0,USA,Strategy,0,0,12,90,67,35,1
0,USA,Simulation,0,1,16,151,64,36,2
1,USA,Action,0,0,4,121,14,11,1
1,Other,Strategy,1,0,5,48,84,15,0
0,USA,Sports,1,0,19,55,29,30,1
1,USA,Simulation,0,2,9,45,68,49,1
1,Asia,Simulation,0,1,10,111,52,23,1
1,USA,Simulation,1,0,2,12,62,40,0
0,USA,RPG,1,2,6,36,39,24,0
1,Asia,Strategy,1,0,14,102,54,44,2
0,Europe,RPG,0,1,3,57,50,14,0
1,Europe,RPG,0,2,5,175,75,7,1
0,USA,Action,0,0,13,14,71,48,2
1,Europe,RPG,0,0,16,84,26,29,1
1,Asia,Sports,0,1,5,88,55,39,1
0,Asia,Simulation,0,0,14,159,45,28,2
1,Europe,Strategy,0,0,12,125,54,26,2
0,USA,RPG,0,0,1,74,26,15,0
0,Asia,Strategy,0,0,10,103,94,8,1
0,Europe,Action,0,0,3,33,10,35,0
0,Asia,Simulation,1,1,7,60,44,1,1
1,USA,Action,0,0,8,20,68,12,0
0,Europe,RPG,0,1,2,93,30,20,0
1,Other,Strategy,0,0,15,166,12,42,2
0,USA,Action,0,0,8,91,87,34,1
1,Other,Simulation,1,1,1,168,47,23,0
0,USA,RPG,0,0,19,32,72,26,1
0,Europe,RPG,1,0,18,109,92,28,2
1,Asia,Simulation,0,0,14,118,85,21,2
0,USA,Action,0,0,9,76,25,4,1
1,Asia,Strategy,0,0,4,169,78,5,1
0,USA,Simulation,0,0,6,172,33,43,1
0,Europe,Action,0,1,18,179,42,3,2
1,Asia,Sports,0,1,10,138,90,8,1
1,USA,Action,0,0,17,27,33,38,1
0,USA,Action,0,1,4,170,45,20,1
1,Other,Sports,0,0,14,150,50,30,2
0,Asia,Simulation,0,0,3,118,61,45,1
0,Asia,Simulation,0,1,1,82,14,48,0
0,Europe,Action,0,0,2,121,82,19,0
1,Asia,Sports,0,0,19,164,61,47,2
0,Other,Strategy,0,0,15,70,26,29,1
0,Europe,Action,0,0,1,140,81,30,0
1,Asia,Strategy,0,1,0,146,58,37,0
0,USA,RPG,1,0,11,23,4,7,0
0,Europe,Simulation,1,0,11,87,88,34,1
0,USA,Action,0,0,4,76,69,43,1
0,Europe,Action,0,0,3,68,5,2,0
0,USA,Sports,1,2,2,71,91,13,0
0,USA,Sports,0,0,13,160,3,0,2
0,USA,RPG,0,2,15,101,24,7,1
0,Europe,Sports,0,2,1,122,90,42,1
1,Europe,Strategy,1,0,12,61,88,42,1
1,USA,Sports,0,2,1,26,42,24,0
1,Other,Sports,0,0,18,79,52,1,1
0,USA,Action,0,0,10,65,96,15,1
0,Asia,Sports,0,1,10,63,54,20,1
1,USA,Action,0,1,10,36,6,27,1
1,USA,Strategy,1,0,11,144,49,41,2
0,USA,RPG,0,2,3,88,56,41,1
0,Other,RPG,1,1,2,159,17,32,1
1,Asia,Action,0,0,3,57,62,9,0
0,USA,RPG,0,1,1,95,40,32,0
0,USA,Sports,0,1,0,75,7,36,1
0,Europe,Simulation,0,0,17,52,94,9,1
1,USA,Simulation,0,0,7,107,96,26,1
1,Other,Simulation,1,0,17,174,82,2,0
1,Asia,Simulation,0,2,19,33,92,15,1
1,Asia,Sports,0,2,5,68,15,43,1
0,USA,Strategy,1,0,9,42,68,14,1
1,USA,Strategy,0,0,15,165,71,8,2
0,Other,RPG,1,1,12,10,56,38,0
0,Europe,Sports,1,1,18,66,47,0,1
1,Europe,RPG,0,1,17,65,5,47,1
0,Europe,RPG,0,0,9,140,7,36,0
0,USA,Strategy,0,2,11,56,63,9,1
1,Asia,Simulation,0,1,4,28,28,35,0
1,Other,Action,1,0,6,104,76,18,1
0,USA,Sports,0,1,17,14,93,36,1
0,USA,Simulation,0,1,0,60,25,32,0
0,USA,RPG,0,1,17,44,71,37,1
1,USA,Action,0,1,17,57,47,33,1
0,USA,Simulation,1,0,0,121,20,26,0
1,USA,Strategy,0,1,2,93,77,7,0
0,USA,Sports,0,1,0,146,48,27,0
0,Europe,Strategy,1,0,8,92,95,49,1
0,Asia,RPG,0,0,2,146,3,34,0
0,Other,RPG,1,0,2,14,69,38,0
1,USA,Simulation,0,1,10,127,77,37,2
1,Europe,RPG,0,0,10,87,77,38,1
0,Europe,Action,0,0,0,24,50,36,0
0,Europe,Action,1,2,1,145,60,25,2
1,Asia,RPG,0,0,5,158,66,29,1
0,USA,Simulation,0,2,7,162,91,11,1
1,USA,Action,1,0,14,12,75,43,1
0,USA,Sports,0,0,2,179,1,38,1
0,USA,Simulation,1,0,10,101,11,39,2
0,Europe,Simulation,0,0,8,87,13,28,1
0,USA,Action,0,0,7,146,39,19,1
0,USA,RPG,1,2,6,59,30,7,1
1,USA,Strategy,0,0,16,124,7,45,2
0,USA,Sports,0,1,1,45,89,43,0
0,USA,Strategy,0,2,4,20,19,19,0
0,Europe,Simulation,0,2,12,56,80,46,1
1,USA,Action,0,2,16,71,22,1,1
1,Other,RPG,0,0,2,44,75,24,0
1,USA,Simulation,0,0,17,82,68,31,2
0,USA,Sports,0,0,11,55,44,1,1
1,USA,Simulation,1,0,12,79,40,5,1
1,Europe,Sports,0,0,11,107,93,46,1
0,Europe,RPG,0,2,18,107,76,8,2
0,Other,Sports,0,0,12,178,39,39,2
1,USA,Sports,0,1,13,45,83,27,1
0,USA,Action,0,1,9,108,83,48,1
0,Asia,RPG,1,1,15,70,24,36,1
0,Asia,Simulation,0,0,19,43,11,25,1
0,USA,Simulation,0,1,0,158,7,48,0
0,Asia,RPG,1,2,2,86,97,11,0
1,Europe,Strategy,0,1,7,156,81,34,1
1,USA,RPG,0,1,6,168,52,30,1
0,USA,RPG,1,0,12,28,7,1,0
0,Europe,Sports,1,0,5,46,81,38,1
1,Asia,Sports,0,0,0,133,68,32,0
1,USA,Sports,0,0,5,64,25,7,0
0,USA,Simulation,1,0,6,83,14,47,1
1,USA,Action,0,0,2,64,54,25,0
1,Asia,Strategy,0,0,16,77,69,32,1
0,USA,Sports,0,1,8,125,12,46,1
0,Europe,Strategy,0,2,10,69,53,6,1
0,Asia,Strategy,0,1,6,79,38,17,1
1,Asia,Action,1,1,0,39,94,36,0
0,Europe,Action,0,2,6,160,77,48,1
0,Europe,Simulation,0,0,12,21,75,6,0
0,Europe,RPG,0,1,1,166,28,37,0
1,Europe,Action,0,1,9,56,38,7,1
0,USA,Sports,1,1,11,70,92,2,1
1,Europe,RPG,1,2,14,94,47,47,2
1,USA,Strategy,0,0,15,80,46,46,1
1,Europe,Simulation,0,1,15,23,86,27,1
1,Asia,RPG,0,0,10,174,63,3,2
0,Europe,Action,0,0,16,66,95,44,1
1,Europe,Strategy,0,2,16,96,96,41,2
1,Asia,RPG,0,1,15,167,14,9,2
1,Europe,Action,0,2,8,87,82,44,1
1,USA,Strategy,0,2,13,74,98,37,1
1,Europe,Action,0,2,4,114,75,25,1
0,USA,Strategy,0,0,15,173,5,19,2
0,USA,Sports,0,1,17,48,72,48,1
0,Europe,Sports,1,0,14,161,27,40,2
0,USA,Simulation,1,1,13,73,71,41,1
1,Asia,Strategy,1,2,2,138,62,8,0
0,Europe,Simulation,0,1,4,151,15,22,1
0,USA,Action,1,2,9,104,55,45,1
1,USA,Simulation,0,1,2,64,63,1,0
1,USA,RPG,0,0,7,91,37,27,1
1,USA,Action,0,0,18,60,10,35,1
1,Asia,Simulation,0,1,3,177,2,12,1
0,USA,RPG,0,1,14,44,68,6,1
1,Europe,Action,0,0,7,32,98,32,1
0,Asia,Strategy,0,0,4,113,15,5,1
1,Europe,Simulation,0,2,4,92,21,19,1
0,USA,Action,0,0,4,72,25,46,1
1,Asia,Simulation,0,1,15,81,83,42,1
1,Europe,Strategy,1,1,9,41,84,15,1
0,Europe,Strategy,0,0,17,34,46,12,1
1,Other,Action,0,2,19,144,93,19,2
1,Europe,Sports,0,1,17,124,23,27,2
1,USA,Strategy,0,0,9,14,87,9,0
0,Asia,Action,1,0,8,133,47,11,1
0,USA,Sports,0,1,4,112,23,1,1
0,Other,Strategy,0,0,17,102,49,17,2
0,Other,RPG,0,0,19,28,53,28,1
0,Europe,Sports,0,1,2,122,26,10,0
1,USA,RPG,0,1,10,75,14,40,1
0,Europe,Simulation,1,2,1,126,50,13,0
1,Europe,Simulation,0,2,13,101,50,4,1
0,USA,RPG,0,1,1,145,5,4,0
0,USA,Sports,0,1,17,163,3,4,2
0,USA,Action,0,0,15,173,2,44,2
1,Europe,Sports,0,2,8,49,28,15,1
1,Europe,Sports,0,1,5,52,69,3,0
0,Other,RPG,1,1,2,77,14,28,0
0,USA,RPG,0,0,11,174,47,42,2
0,USA,Sports,1,0,4,24,82,29,0
1,USA,Strategy,0,0,13,50,78,49,1
1,Other,Sports,0,0,7,35,48,8,0
1,USA,RPG,0,0,11,56,89,45,1
0,Other,Sports,0,0,14,106,84,39,2
0,Asia,RPG,0,2,2,66,32,8,0
0,USA,Strategy,0,0,17,123,28,18,2
0,USA,RPG,0,2,14,156,71,34,2
0,USA,RPG,0,1,7,128,20,39,1
0,USA,RPG,0,0,8,111,99,22,1
0,Europe,Strategy,0,2,4,90,66,16,1
0,Europe,RPG,1,2,16,153,4,33,2
0,Asia,RPG,1,0,6,61,54,37,2
0,USA,RPG,1,1,11,174,23,32,2
1,USA,Simulation,0,0,6,53,43,26,1
1,Europe,Strategy,1,1,12,121,37,15,0
0,USA,Simulation,0,1,12,145,14,44,2
1,Europe,Action,1,2,9,96,20,26,1
1,USA,Simulation,0,0,5,32,36,6,0
0,USA,Strategy,0,0,2,110,19,38,0
0,Asia,Action,1,0,1,91,4,47,0
1,Asia,Strategy,0,2,15,171,97,39,2
1,USA,Strategy,0,2,18,51,53,42,1
0,Europe,Sports,0,0,16,128,42,8,2
0,USA,RPG,1,0,10,51,12,26,1
1,USA,Strategy,0,1,2,89,69,23,0
0,Europe,RPG,0,0,19,18,48,2,1
1,USA,Simulation,0,0,2,123,60,34,1
0,USA,Simulation,0,2,13,55,31,47,1
1,USA,Sports,0,0,1,46,29,20,0
0,Europe,Sports,1,1,3,107,97,21,1
0,USA,RPG,0,2,9,138,86,5,1
1,Other,RPG,0,0,14,94,21,20,1
0,USA,Simulation,1,2,13,106,69,23,2
0,USA,Simulation,0,0,12,92,78,22,1
1,Asia,Sports,1,0,14,45,61,22,1
0,Europe,Strategy,1,2,18,169,23,49,2
0,USA,Strategy,0,1,19,148,20,36,2
0,Europe,Action,0,0,1,176,99,16,0
1,USA,Sports,0,2,18,48,51,13,1
1,Asia,RPG,0,0,15,139,51,26,2
1,USA,Sports,0,0,6,168,38,26,1
0,Other,Strategy,0,1,14,165,72,48,2
0,Europe,Strategy,1,0,8,108,92,1,1
0,Asia,Simulation,1,2,11,27,40,47,1
1,Asia,Strategy,0,1,2,52,87,31,0
1,USA,Sports,0,1,14,24,23,34,2
1,Asia,Simulation,0,0,17,170,98,20,2
1,USA,Simulation,0,2,18,177,25,5,2
0,USA,Simulation,0,1,4,20,84,27,0
0,Europe,Action,0,0,2,73,79,8,0
1,Other,RPG,0,1,4,93,98,35,1
0,USA,Action,0,0,14,167,94,47,2
0,Other,RPG,0,1,9,162,8,0,2
1,Europe,RPG,0,1,18,20,33,22,1
0,Asia,Sports,0,2,13,139,86,9,2
0,Europe,RPG,0,1,5,157,21,35,1
0,USA,Sports,0,0,0,68,30,14,0
1,Asia,Simulation,0,1,8,24,52,38,0
0,USA,Sports,0,1,12,44,51,16,1
1,Europe,Strategy,1,1,6,118,53,8,1
0,Asia,Action,0,0,12,68,38,41,1
1,Asia,Sports,0,0,4,116,72,2,1
0,Europe,RPG,0,0,13,77,38,3,1
1,USA,Sports,0,0,0,103,79,41,0
0,Europe,Sports,0,0,13,119,54,36,2
1,Europe,Simulation,0,0,16,60,5,37,1
1,Asia,Action,0,0,4,103,35,12,1
0,USA,Simulation,0,2,19,92,45,46,2
0,Europe,Action,1,1,4,58,81,9,0
0,USA,Action,0,2,13,115,61,31,2
1,Europe,RPG,0,1,11,136,92,0,2
0,USA,Simulation,0,2,10,74,49,5,1
0,USA,Sports,0,1,0,83,92,20,0
1,Asia,Strategy,1,0,15,37,94,9,1
1,Europe,Strategy,0,1,14,139,43,30,2
0,Europe,RPG,0,0,13,41,1,37,1
0,Asia,RPG,0,1,5,106,28,47,0
0,USA,RPG,0,0,4,50,43,13,0
0,USA,RPG,0,2,9,154,39,8,1
0,USA,Simulation,0,0,12,45,50,35,1
1,Europe,Action,1,1,13,54,96,45,1
0,Europe,Sports,0,0,10,10,28,45,0
0,Europe,Sports,0,1,14,62,32,24,1
0,Europe,Simulation,0,2,11,131,35,28,2
1,Europe,Sports,0,0,17,52,47,5,1
0,Asia,Strategy,0,0,3,175,6,17,1
1,Europe,Sports,0,1,17,49,20,22,1
0,Asia,Action,0,2,12,116,90,13,2
0,USA,Sports,0,0,5,178,38,15,1
1,USA,Action,0,1,11,144,92,45,2
0,Europe,RPG,1,2,9,107,11,40,1
1,USA,Simulation,0,0,5,156,98,37,2
1,Europe,Strategy,0,0,17,158,36,27,2
0,Europe,Sports,0,1,2,149,51,45,1
1,USA,Strategy,0,0,10,89,72,31,1
1,USA,Sports,0,2,8,97,7,21,1
1,Europe,RPG,0,0,16,160,63,44,2
0,Asia,Action,0,1,6,131,92,0,1
0,Europe,Simulation,0,1,16,91,20,31,2
0,Europe,Simulation,0,1,4,21,10,0,0
1,USA,Strategy,0,2,12,174,31,43,2
0,Europe,Action,0,0,12,33,26,45,1
0,Europe,Simulation,0,1,11,96,58,45,1
0,USA,Strategy,0,1,0,160,16,37,0
1,USA,Action,0,1,15,156,98,30,2
0,USA,RPG,0,0,12,56,43,22,1
0,USA,RPG,1,0,17,130,79,31,2
1,USA,Strategy,0,0,4,68,88,8,0
0,Asia,RPG,0,1,1,58,47,37,0
0,Europe,Sports,0,2,19,88,23,13,2
0,USA,Sports,0,0,7,57,1,8,1
0,Europe,Action,0,0,5,133,63,21,2
0,Asia,RPG,1,0,4,45,48,31,0
0,Asia,Simulation,0,1,1,35,54,18,0
0,Europe,Strategy,0,0,12,54,51,30,1
1,USA,Simulation,0,0,5,50,1,25,1
0,USA,Sports,0,1,17,78,21,2,1
0,USA,RPG,0,1,0,44,74,46,0
0,Europe,Simulation,0,2,8,122,94,31,1
0,USA,Strategy,0,0,11,172,8,21,2
1,Europe,Action,0,0,15,98,74,13,2
0,Asia,Action,0,1,9,107,80,47,1
0,Asia,Strategy,0,2,7,161,86,0,1
1,Asia,Sports,0,0,4,142,96,21,1
1,USA,Strategy,0,1,3,28,55,31,0
1,Other,Strategy,0,2,3,29,36,29,0
1,Europe,RPG,0,1,11,62,73,8,1
0,Europe,Simulation,0,0,7,112,62,2,1
1,USA,Strategy,0,0,15,114,68,42,2
1,Other,Strategy,0,0,15,18,32,4,0
0,USA,Action,0,1,14,81,70,0,1
1,USA,Simulation,0,0,12,158,24,39,1
0,USA,Action,0,2,18,116,22,13,2
1,Europe,Sports,0,1,10,128,91,46,2
0,Europe,Action,1,0,19,79,36,45,2
0,Other,Sports,0,2,4,163,67,13,1
0,USA,Sports,0,2,5,95,12,1,1
0,USA,Simulation,0,0,13,23,17,47,1
0,Europe,Sports,0,1,18,20,23,4,1
0,USA,Strategy,0,1,4,115,45,26,0
1,Europe,Strategy,1,2,7,96,57,8,1
1,USA,Action,0,2,10,116,51,6,1
0,Europe,Action,1,1,15,73,47,18,1
1,Asia,Simulation,0,2,7,126,3,43,1
0,USA,Sports,0,1,15,67,52,42,1
1,USA,Strategy,0,0,13,117,44,31,1
0,USA,Action,0,0,0,34,39,3,0
1,Europe,RPG,0,0,9,75,56,46,1
1,Europe,Simulation,0,1,1,123,87,23,0
0,Asia,Sports,0,1,9,25,35,27,0
0,Other,Simulation,0,2,13,103,48,47,2
1,Other,Sports,0,1,15,29,26,5,1
1,USA,Sports,0,0,4,150,36,42,1
0,Europe,Simulation,0,1,11,100,91,6,1
0,Asia,Action,0,1,19,159,8,39,2
1,Europe,Action,0,2,16,83,67,15,1
1,Asia,Sports,0,1,9,85,86,40,1
0,Europe,Strategy,1,0,6,87,25,14,1
1,Europe,Sports,0,1,11,121,27,11,1
0,USA,RPG,1,2,2,177,80,20,1
1,USA,Action,1,1,0,18,9,1,2
1,Europe,Simulation,1,1,2,138,11,13,0
0,Europe,Sports,0,1,16,35,42,47,1
0,Europe,Action,0,0,8,147,7,11,1
1,USA,Action,1,1,0,75,77,35,0
0,Asia,Sports,0,2,18,161,83,36,2
1,Other,Sports,0,1,14,77,95,29,0
1,Europe,Action,0,0,17,86,92,45,1
0,USA,RPG,0,2,18,96,36,34,1
1,USA,Simulation,0,1,10,178,23,7,2
0,Europe,Sports,0,0,7,166,28,4,0
1,Other,Sports,0,2,16,71,3,2,1
1,Europe,Strategy,0,2,19,121,32,26,2
1,Asia,Sports,0,0,10,160,75,40,2
0,Europe,RPG,0,0,17,81,37,24,1
0,Europe,RPG,0,2,14,45,88,42,1
0,Europe,Sports,0,0,9,36,78,35,1
0,Europe,Simulation,0,2,3,179,53,13,1
0,Asia,Simulation,0,0,11,119,38,25,1
1,USA,Sports,0,0,17,88,12,26,2
0,Other,Sports,0,0,19,171,29,38,2
0,Asia,RPG,0,1,12,73,25,9,1
0,Asia,Strategy,0,2,17,106,63,7,2
0,Asia,Sports,0,1,17,21,3,10,1
1,Europe,Simulation,1,2,17,109,83,6,2
0,Asia,Sports,0,2,7,161,85,44,0
0,Other,Action,0,0,1,18,40,46,0
0,Asia,RPG,0,0,10,165,15,32,2
0,USA,RPG,0,0,1,104,14,42,0
0,Asia,Strategy,0,1,7,97,11,17,1
1,Europe,Simulation,1,1,12,55,3,23,1
1,Europe,Sports,0,0,15,40,1,40,1
0,Other,Strategy,0,1,7,153,50,16,1
0,USA,Simulation,0,2,1,85,70,1,0
1,USA,RPG,0,2,19,103,72,40,2
0,USA,Action,1,1,5,136,85,1,1
0,USA,Sports,1,1,12,76,66,47,1
0,USA,Simulation,0,0,3,39,75,17,0
1,Europe,Simulation,1,0,12,178,41,20,2
1,Other,Sports,0,0,3,156,2,0,1
0,Asia,RPG,0,0,12,64,74,24,1
0,USA,Strategy,0,0,16,69,5,43,1
1,Europe,Sports,0,1,7,164,97,23,1
1,Asia,Simulation,0,0,4,61,53,41,1
1,Europe,RPG,0,2,6,150,77,7,1
1,Other,Sports,1,1,1,165,69,48,1
1,Other,Strategy,1,2,3,138,22,4,2
0,USA,RPG,0,1,2,121,69,22,0
0,Asia,Action,0,2,7,155,99,47,1
0,Europe,Action,1,1,4,73,93,5,0
0,Europe,Strategy,0,0,0,34,24,19,0
